BFS,Gemeinde,Zweitwohnungsanteil,Veraenderung_Pp,Wohnungen_total,Einwohner_2024
3542,Albula/Alvra,59.14,+3.29,1532,1354
3701,Andeer,48.45,+6.62,840,923
3921,Arosa,73.04,-0.47,6020,3159
3681,Avers,71.54,+6.12,246,169
3544,Bergün Filisur,69.94,+3.93,1414,898
3781,Bever,52.30,+0.29,652,618
3721,Bonaduz,12.37,-1.80,1786,3565
3792,Bregaglia,63.15,+2.93,2076,1591
3981,Breil/Brigels,67.99,+5.20,2496,1706
3551,Brusio,43.34,+15.60,833,1099
3804,Buseno,72.08,+1.19,197,91
3837,Calanca,78.34,+3.66,531,204
3831,Cama,25.49,+7.84,463,720
3805,Castaneda,44.68,+3.39,235,254
3661,Cazis,34.69,-3.14,1724,2439
3782,Celerina/Schlarigna,69.52,+1.56,2421,1415
3901,Chur,12.86,-1.15,22390,39177
3911,Churwalden,63.72,+2.35,2657,2114
3881,Conters im Prättigau,52.73,-1.42,220,224
3851,Davos,58.97,+2.97,12865,10774
3982,Disentis/Mustér,59.15,+0.80,2433,2104
3722,Domat/Ems,8.36,-1.20,3782,8392
3673,Domleschg,27.62,-3.90,1347,2262
3572,Falera,77.87,-2.49,1369,635
3731,Felsberg,8.76,-2.79,1302,2886
3713,Ferrera,77.30,+6.71,163,76
3861,Fideris,53.02,+1.94,596,626
3662,Flerden,36.75,-3.79,166,255
3732,Flims,70.88,+1.03,5296,2902
3951,Fläsch,12.58,-2.61,469,879
3862,Furna,69.47,+0.03,262,203
3633,Fürstenau,16.08,-4.89,199,353
3832,Grono,21.90,-5.45,977,1580
3961,Grüsch,35.16,+2.09,1553,2176
3619,Ilanz/Glion,33.31,-1.59,3594,5067
3863,Jenaz,31.16,+13.11,767,1164
3952,Jenins,14.97,-3.33,501,964
3871,Klosters,65.12,+2.45,6442,4478
3882,Küblis,32.93,+8.03,656,910
3785,La Punt Chamues-ch,68.94,-0.20,1249,750
3575,Laax,72.18,-6.22,4195,2102
3955,Landquart,8.71,-1.27,4420,9244
3513,Lantsch/Lenz,72.94,+0.32,1068,518
3821,Lostallo,22.50,+5.59,511,866
3618,Lumnezia,62.66,+1.42,2598,2075
3891,Luzein,56.54,+3.96,1675,1689
3783,Madulain,77.50,-0.36,440,196
3953,Maienfeld,13.66,+1.23,1794,3266
3954,Malans,14.04,-0.99,1261,2529
3663,Masein,17.83,-3.20,258,531
3983,Medel (Lucmagn),66.81,+3.46,455,328
3822,Mesocco,71.11,+0.47,2347,1414
3715,Muntogna da Schons,62.06,+6.37,456,368
3988,Obersaxen Mundaun,80.98,+1.02,2828,1160
3784,Pontresina,56.78,+1.00,2339,2072
3561,Poschiavo,45.76,+6.26,2797,3505
3714,Rheinwald,64.75,-0.17,817,570
3723,Rhäzüns,16.26,-0.24,787,1612
3711,Rongellen,8.33,-4.71,24,59
3808,Rossa,71.85,+3.02,341,168
3637,Rothenbrunnen,17.65,-1.97,170,304
3834,Roveredo (GR),31.79,-0.22,1768,2656
3788,S-chanf,42.13,+2.83,629,713
3672,Safiental,48.75,-2.45,798,964
3581,Sagogn,55.15,-1.91,787,769
3786,Samedan,48.96,+2.86,2831,2901
3752,Samnaun,56.51,+2.59,1106,750
3835,San Vittore,27.26,-4.43,609,961
3810,Santa Maria in Calanca,71.43,+1.48,238,113
3638,Scharans,26.95,+7.89,512,836
3962,Schiers,27.69,+4.86,1849,2993
3582,Schluein,48.29,+3.35,586,616
3514,Schmitten (GR),62.30,+6.95,305,205
3762,Scuol,59.88,+1.45,5494,4546
3972,Seewis im Prättigau,36.77,+12.97,1017,1450
3640,Sils im Domleschg,20.19,+1.15,520,976
3789,Sils im Engadin/Segl,72.30,+3.30,1224,708
3790,Silvaplana,73.84,+0.65,2515,1124
3823,Soazza,45.08,+13.80,295,324
3787,St. Moritz,53.36,-1.52,5946,4997
3695,Sufers,56.76,+5.36,148,147
3985,Sumvitg,54.99,+14.78,1073,1063
3543,Surses,74.73,+0.51,4914,2465
3733,Tamins,26.42,+5.49,757,1223
3668,Thusis,18.42,-2.70,2009,3439
3945,Trimmis,9.85,+0.25,1686,3424
3734,Trin,43.64,-4.51,1274,1557
3987,Trun,47.15,+13.82,1001,1141
3669,Tschappina,73.54,-3.35,257,146
3986,Tujetsch,70.53,+4.33,1978,1199
3946,Untervaz,17.92,-0.27,1451,2674
3670,Urmein,69.02,-0.15,255,163
3847,Val Müstair,47.86,+2.45,1356,1430
3603,Vals,53.49,+4.96,1075,958
3764,Valsot,49.19,+2.62,738,801
3506,Vaz/Obervaz,76.18,-0.31,5807,2732
3746,Zernez,42.85,+2.23,1286,1592
3712,Zillis-Reischen,38.11,+14.93,307,426
3947,Zizers,11.47,+0.07,1962,3691
3791,Zuoz,65.23,+1.25,1605,1224
