Gemeinde;Region;Auslaenderanteil_Prozent;Ja_Anteil_Prozent;Bevoelkerung;Resultat
Albula/Alvra;Albula;18.09;53.18;1310;angenommen
Andeer;Viamala;17.32;42.53;912;abgelehnt
Arosa;Plessur;26.76;54.13;3143;angenommen
Avers;Viamala;7.23;48.96;166;abgelehnt
Bergün Filisur;Albula;18.79;40.58;894;abgelehnt
Bever;Maloja;15.79;39.48;627;abgelehnt
Bonaduz;Imboden;14.63;48.16;3617;abgelehnt
Bregaglia;Maloja;15.98;39.58;1602;abgelehnt
Breil/Brigels;Surselva;9.84;52.67;1737;angenommen
Brusio;Bernina;17.68;54.62;1103;angenommen
Buseno;Moesa;6.86;55.41;102;angenommen
Calanca;Moesa;17.84;47.62;213;abgelehnt
Cama;Moesa;29.39;67.31;735;angenommen
Castaneda;Moesa;15.27;46.62;262;abgelehnt
Cazis;Viamala;19.0;53.18;2548;angenommen
Celerina/Schlarigna;Maloja;28.72;40.49;1410;abgelehnt
Chur;Plessur;24.44;40.86;39740;abgelehnt
Churwalden;Plessur;26.72;46.37;2073;abgelehnt
Conters im Prättigau;Prättigau / Davos;4.68;67.83;235;angenommen
Davos;Prättigau / Davos;29.61;45.98;10733;abgelehnt
Disentis/Mustér;Surselva;18.49;45.5;2163;abgelehnt
Domat/Ems;Imboden;25.79;48.36;8419;abgelehnt
Domleschg;Viamala;6.54;47.3;2233;abgelehnt
Falera;Surselva;11.98;45.18;651;abgelehnt
Felsberg;Imboden;13.84;48.19;2847;abgelehnt
Ferrera;Viamala;15.07;62.86;73;angenommen
Fideris;Prättigau / Davos;7.41;62.38;634;angenommen
Flerden;Viamala;5.14;53.57;253;angenommen
Flims;Imboden;24.23;40.08;2951;abgelehnt
Fläsch;Landquart;11.74;56.73;886;angenommen
Furna;Prättigau / Davos;4.0;77.88;200;angenommen
Fürstenau;Viamala;11.33;56.25;353;angenommen
Grono;Moesa;32.88;57.55;1633;angenommen
Grüsch;Prättigau / Davos;10.61;64.35;2187;angenommen
Ilanz/Glion;Surselva;20.28;48.85;5099;abgelehnt
Jenaz;Prättigau / Davos;9.65;63.39;1150;angenommen
Jenins;Landquart;12.36;56.15;979;angenommen
Klosters;Prättigau / Davos;20.49;56.28;4499;angenommen
Küblis;Prättigau / Davos;21.25;67.44;913;angenommen
La Punt Chamues-ch;Maloja;23.23;54.35;762;angenommen
Laax;Surselva;17.88;45.68;2103;abgelehnt
Landquart;Landquart;24.35;55.7;9275;angenommen
Lantsch/Lenz;Albula;15.36;41.08;534;abgelehnt
Lostallo;Moesa;20.21;60.49;871;angenommen
Lumnezia;Surselva;7.98;51.42;2056;angenommen
Luzein;Prättigau / Davos;10.49;68.94;1706;angenommen
Madulain;Maloja;25.24;57.73;206;angenommen
Maienfeld;Landquart;12.65;51.15;3344;angenommen
Malans;Landquart;8.85;42.97;2530;abgelehnt
Masein;Viamala;8.55;37.97;538;abgelehnt
Medel (Lucmagn);Surselva;10.61;40.99;330;abgelehnt
Mesocco;Moesa;21.23;62.94;1432;angenommen
Muntogna da Schons;Viamala;4.5;53.92;378;angenommen
Obersaxen Mundaun;Surselva;8.25;51.57;1151;angenommen
Pontresina;Maloja;32.4;43.5;2077;abgelehnt
Poschiavo;Bernina;10.82;46.51;3493;abgelehnt
Rheinwald;Viamala;15.22;50.91;598;angenommen
Rhäzüns;Imboden;20.72;45.59;1607;abgelehnt
Rongellen;Viamala;9.09;66.67;55;angenommen
Rossa;Moesa;8.72;59.2;172;angenommen
Rothenbrunnen;Viamala;10.98;60.54;337;angenommen
Roveredo (GR);Moesa;28.29;62.08;2711;angenommen
S-chanf;Maloja;19.7;53.56;736;angenommen
Safiental;Surselva;5.25;47.51;972;abgelehnt
Sagogn;Surselva;12.61;38.75;777;abgelehnt
Samedan;Maloja;25.72;41.55;2924;abgelehnt
Samnaun;Engiadina Bassa / Val Müstair;28.25;64.1;761;angenommen
San Vittore;Moesa;28.44;62.8;946;angenommen
Santa Maria in Calanca;Moesa;9.73;65.28;113;angenommen
Scharans;Viamala;4.85;45.26;845;abgelehnt
Schiers;Prättigau / Davos;21.84;64.09;3017;angenommen
Schluein;Surselva;19.64;56.73;611;angenommen
Schmitten (GR);Albula;15.96;62.07;213;angenommen
Scuol;Engiadina Bassa / Val Müstair;21.85;40.25;4599;abgelehnt
Seewis im Prättigau;Prättigau / Davos;13.8;60.36;1485;angenommen
Sils im Domleschg;Viamala;17.71;53.81;954;angenommen
Sils im Engadin/Segl;Maloja;32.61;43.89;693;abgelehnt
Silvaplana;Maloja;32.64;51.05;1109;angenommen
Soazza;Moesa;18.75;58.39;320;angenommen
St. Moritz;Maloja;44.8;43.05;5025;abgelehnt
Sufers;Viamala;9.59;41.89;146;abgelehnt
Sumvitg;Surselva;7.13;42.83;1052;abgelehnt
Surses;Albula;18.89;43.16;2494;abgelehnt
Tamins;Imboden;16.49;50.59;1225;angenommen
Thusis;Viamala;35.89;52.41;3452;angenommen
Trimmis;Landquart;13.77;59.7;3472;angenommen
Trin;Imboden;13.1;37.03;1572;abgelehnt
Trun;Surselva;13.29;48.07;1136;abgelehnt
Tschappina;Viamala;4.05;46.67;148;abgelehnt
Tujetsch;Surselva;14.68;39.18;1185;abgelehnt
Untervaz;Landquart;12.33;56.54;2676;angenommen
Urmein;Viamala;3.7;54.29;162;angenommen
Val Müstair;Engiadina Bassa / Val Müstair;9.39;46.16;1427;abgelehnt
Vals;Surselva;23.52;34.4;948;abgelehnt
Valsot;Engiadina Bassa / Val Müstair;10.68;52.78;824;angenommen
Vaz/Obervaz;Albula;21.12;44.9;2703;abgelehnt
Zernez;Engiadina Bassa / Val Müstair;21.31;51.9;1586;angenommen
Zillis-Reischen;Viamala;20.68;58.88;440;angenommen
Zizers;Landquart;17.15;50.37;3826;angenommen
Zuoz;Maloja;33.58;44.35;1209;abgelehnt
