Rang;Gemeinde;Logiernaechte_2025;Ja_Anteil_Prozent;Resultat
1;Davos;811462;46.0;abgelehnt
2;St. Moritz;799655;43.0;abgelehnt
3;Arosa;418711;54.1;angenommen
4;Pontresina;403332;43.5;abgelehnt
5;Laax;275818;45.7;abgelehnt
6;Scuol;266633;40.2;abgelehnt
7;Chur;256175;40.9;abgelehnt
8;Vaz/Obervaz;248878;44.9;abgelehnt
9;Sils im Engadin/Segl;239428;43.9;abgelehnt
10;Flims;194963;40.1;abgelehnt
11;Klosters;169081;56.3;angenommen
12;Samnaun;158348;64.1;angenommen
13;Celerina/Schlarigna;119197;40.5;abgelehnt
14;Disentis/Mustér;83246;45.5;abgelehnt
15;Silvaplana;77709;51.0;angenommen
