Gemeinde;Region;Maenneranteil_Prozent;Ja_Anteil_Prozent;Bevoelkerung;Resultat
Albula/Alvra;Albula;51.33;53.18;1310;angenommen
Andeer;Viamala;47.13;42.53;912;abgelehnt
Arosa;Plessur;53.24;54.13;3143;angenommen
Avers;Viamala;46.75;48.96;166;abgelehnt
Bergün Filisur;Albula;49.44;40.58;894;abgelehnt
Bever;Maloja;47.57;39.48;627;abgelehnt
Bonaduz;Imboden;49.85;48.16;3617;abgelehnt
Bregaglia;Maloja;49.03;39.58;1602;abgelehnt
Breil/Brigels;Surselva;51.11;52.67;1737;angenommen
Brusio;Bernina;52.68;54.62;1103;angenommen
Buseno;Moesa;47.25;55.41;102;angenommen
Calanca;Moesa;51.96;47.62;213;abgelehnt
Cama;Moesa;52.92;67.31;735;angenommen
Castaneda;Moesa;46.85;46.62;262;abgelehnt
Cazis;Viamala;51.82;53.18;2548;angenommen
Celerina/Schlarigna;Maloja;50.74;40.49;1410;abgelehnt
Chur;Plessur;49.03;40.86;39740;abgelehnt
Churwalden;Plessur;52.65;46.37;2073;abgelehnt
Conters im Prättigau;Prättigau / Davos;50.89;67.83;235;angenommen
Davos;Prättigau / Davos;50.21;45.98;10733;abgelehnt
Disentis/Mustér;Surselva;51.95;45.5;2163;abgelehnt
Domat/Ems;Imboden;50.46;48.36;8419;abgelehnt
Domleschg;Viamala;48.54;47.3;2233;abgelehnt
Falera;Surselva;53.39;45.18;651;abgelehnt
Felsberg;Imboden;49.76;48.19;2847;abgelehnt
Ferrera;Viamala;56.58;62.86;73;angenommen
Fideris;Prättigau / Davos;49.2;62.38;634;angenommen
Flerden;Viamala;49.41;53.57;253;angenommen
Flims;Imboden;50.34;40.08;2951;abgelehnt
Fläsch;Landquart;49.94;56.73;886;angenommen
Furna;Prättigau / Davos;50.25;77.88;200;angenommen
Fürstenau;Viamala;45.89;56.25;353;angenommen
Grono;Moesa;53.1;57.55;1633;angenommen
Grüsch;Prättigau / Davos;51.01;64.35;2187;angenommen
Ilanz/Glion;Surselva;49.06;48.85;5099;abgelehnt
Jenaz;Prättigau / Davos;51.12;63.39;1150;angenommen
Jenins;Landquart;51.04;56.15;979;angenommen
Klosters;Prättigau / Davos;50.45;56.28;4499;angenommen
Küblis;Prättigau / Davos;49.89;67.44;913;angenommen
La Punt Chamues-ch;Maloja;50.0;54.35;762;angenommen
Laax;Surselva;54.47;45.68;2103;abgelehnt
Landquart;Landquart;50.41;55.7;9275;angenommen
Lantsch/Lenz;Albula;50.19;41.08;534;abgelehnt
Lostallo;Moesa;52.54;60.49;871;angenommen
Lumnezia;Surselva;52.72;51.42;2056;angenommen
Luzein;Prättigau / Davos;52.4;68.94;1706;angenommen
Madulain;Maloja;51.53;57.73;206;angenommen
Maienfeld;Landquart;50.15;51.15;3344;angenommen
Malans;Landquart;49.27;42.97;2530;abgelehnt
Masein;Viamala;48.4;37.97;538;abgelehnt
Medel (Lucmagn);Surselva;50.3;40.99;330;abgelehnt
Mesocco;Moesa;52.48;62.94;1432;angenommen
Muntogna da Schons;Viamala;51.09;53.92;378;angenommen
Obersaxen Mundaun;Surselva;51.29;51.57;1151;angenommen
Pontresina;Maloja;48.79;43.5;2077;abgelehnt
Poschiavo;Bernina;49.61;46.51;3493;abgelehnt
Rheinwald;Viamala;52.11;50.91;598;angenommen
Rhäzüns;Imboden;52.3;45.59;1607;abgelehnt
Rongellen;Viamala;55.93;66.67;55;angenommen
Rossa;Moesa;55.95;59.2;172;angenommen
Rothenbrunnen;Viamala;53.95;60.54;337;angenommen
Roveredo (GR);Moesa;49.36;62.08;2711;angenommen
S-chanf;Maloja;52.59;53.56;736;angenommen
Safiental;Surselva;52.07;47.51;972;abgelehnt
Sagogn;Surselva;52.15;38.75;777;abgelehnt
Samedan;Maloja;49.81;41.55;2924;abgelehnt
Samnaun;Engiadina Bassa / Val Müstair;54.53;64.1;761;angenommen
San Vittore;Moesa;51.61;62.8;946;angenommen
Santa Maria in Calanca;Moesa;53.98;65.28;113;angenommen
Scharans;Viamala;48.21;45.26;845;abgelehnt
Schiers;Prättigau / Davos;50.38;64.09;3017;angenommen
Schluein;Surselva;54.87;56.73;611;angenommen
Schmitten (GR);Albula;55.61;62.07;213;angenommen
Scuol;Engiadina Bassa / Val Müstair;49.54;40.25;4599;abgelehnt
Seewis im Prättigau;Prättigau / Davos;51.1;60.36;1485;angenommen
Sils im Domleschg;Viamala;49.9;53.81;954;angenommen
Sils im Engadin/Segl;Maloja;51.55;43.89;693;abgelehnt
Silvaplana;Maloja;52.31;51.05;1109;angenommen
Soazza;Moesa;52.78;58.39;320;angenommen
St. Moritz;Maloja;50.41;43.05;5025;abgelehnt
Sufers;Viamala;53.06;41.89;146;abgelehnt
Sumvitg;Surselva;49.48;42.83;1052;abgelehnt
Surses;Albula;51.28;43.16;2494;abgelehnt
Tamins;Imboden;50.61;50.59;1225;angenommen
Thusis;Viamala;51.18;52.41;3452;angenommen
Trimmis;Landquart;50.88;59.7;3472;angenommen
Trin;Imboden;49.84;37.03;1572;abgelehnt
Trun;Surselva;49.78;48.07;1136;abgelehnt
Tschappina;Viamala;53.42;46.67;148;abgelehnt
Tujetsch;Surselva;51.96;39.18;1185;abgelehnt
Untervaz;Landquart;50.49;56.54;2676;angenommen
Urmein;Viamala;50.31;54.29;162;angenommen
