Gemeinde;Gemeindenummer;Total;Maenner;Frauen;Durchschnittsalter;Maenneranteil_pct;Jugendanteil_pct;Seniorenanteil_pct
Chur;3901;39177;19209;19968;44.43;49.03;16.69;22.42
Davos;3851;10774;5410;5364;44.9;50.21;16.97;22.47
Landquart;3955;9244;4660;4584;43.01;50.41;20.35;20.75
Domat/Ems;3722;8392;4235;4157;42.5;50.46;20.01;19.95
Ilanz/Glion;3619;5067;2486;2581;45.93;49.06;17.19;25.34
St. Moritz;3787;4997;2519;2478;46.74;50.41;13.31;23.21
Scuol;3762;4546;2252;2294;47.32;49.54;16.61;27.34
Klosters;3871;4478;2259;2219;48.29;50.45;14.72;29.23
Zizers;3947;3691;1841;1850;43.71;49.88;18.23;21.21
Bonaduz;3721;3565;1777;1788;41.64;49.85;21.74;18.37
Poschiavo;3561;3505;1739;1766;46.84;49.61;18.8;28.3
Thusis;3668;3439;1760;1679;44.47;51.18;17.19;22.3
Trimmis;3945;3424;1742;1682;43.05;50.88;20.68;19.39
Maienfeld;3953;3266;1638;1628;44.18;50.15;18.59;21.22
Arosa;3921;3159;1682;1477;47.44;53.24;12.47;25.99
Schiers;3962;2993;1508;1485;41.65;50.38;21.88;19.45
Flims;3732;2902;1461;1441;46.38;50.34;15.33;25.88
Samedan;3786;2901;1445;1456;44.96;49.81;15.93;20.92
Felsberg;3731;2886;1436;1450;40.15;49.76;23.25;16.25
Vaz/Obervaz;3506;2732;1403;1329;46.08;51.35;16.0;25.48
Untervaz;3946;2674;1350;1324;41.99;50.49;20.04;18.1
Roveredo (GR);3834;2656;1311;1345;44.99;49.36;18.26;21.57
Malans;3954;2529;1246;1283;43.92;49.27;19.97;20.01
Surses;3543;2465;1264;1201;49.17;51.28;14.08;31.32
Cazis;3661;2439;1264;1175;43.73;51.82;20.46;21.69
Domleschg;3673;2262;1098;1164;43.86;48.54;21.26;22.9
Grüsch;3961;2176;1110;1066;45.48;51.01;17.92;23.76
Churwalden;3911;2114;1113;1001;43.97;52.65;17.08;21.24
Disentis/Mustér;3982;2104;1093;1011;47.38;51.95;17.06;28.85
Laax;3575;2102;1145;957;46.1;54.47;13.84;24.74
Lumnezia;3618;2075;1094;981;49.8;52.72;13.3;32.82
Pontresina;3784;2072;1011;1061;46.4;48.79;15.69;22.92
Breil/Brigels;3981;1706;872;834;46.48;51.11;18.11;27.14
